globalid,CreationDate,Creator,EditDate,Editor,date_and_time,your_mode_of_transportation,mode_other,request,request_other,additional_comments,shape_wkt,POINT_X,POINT_Y
{18109350-C2A0-4198-B13B-10FA70BA29A5},9/12/2022 19:05:21.946,,9/12/2022 19:05:21.946,,9/12/2022 19:04:00.000,bikes,,bikefacility,,Bike parking needed,POINT (-71.062254848999942 42.298875950000081),-71.062254848999942,42.298875950000081
{EAEB2084-7A40-450B-BB26-B261471E9921},9/12/2022 19:07:49.792,,9/12/2022 19:07:49.792,,9/12/2022 19:06:00.000,walks,,sidewalk,,Sidewalk drops off at driveway instead of ramp,POINT (-71.067514562999975 42.294104054000059),-71.067514562999975,42.294104054000059
{C9612D91-6D65-471D-A8F8-DD3E4E6D591E},9/12/2022 19:09:21.502,,9/12/2022 19:09:21.502,,9/12/2022 19:08:00.000,bikes,,bikefacility,,Need bike lanes and more bike parking ,POINT (-71.067700516999935 42.273364061000052),-71.067700516999935,42.273364061000052
{C5EE53FF-DA31-4CA2-987E-F3E36849FA26},9/12/2022 20:53:06.947,,9/12/2022 20:53:06.947,,9/12/2022 20:52:00.000,bikes,,other,"Cars constantly park in the bike lanes, it would be nice to have a physical barrier (like the short concrete blocks seen in some bike lanes)",,POINT (-71.098092074999954 42.344412882000029),-71.098092074999954,42.344412882000029
{03ADC759-C4FA-41C6-865D-61015E8749C5},9/12/2022 22:31:57.263,,9/12/2022 22:31:57.263,,9/12/2022 22:30:00.000,walks,,runlightssigns,,"At the crosswalks between the 2 parks, drivers at morning rush hour very frequently blow off the red lights while i cross the street. they don't just do it to me, they do it to school children. it's absolutely terrible. will make separate comment about speeding",POINT (-71.125965590999954 42.246207115000061),-71.125965590999954,42.246207115000061
{3C2349B2-9313-4001-8FD6-BF66A13DE2FD},9/12/2022 22:33:40.218,,9/12/2022 22:33:40.218,,9/12/2022 22:32:00.000,walks,,speeding,,"drivers routinely blast down Truman ""parkway"" at 50, 60, 70+ MPH. need a road diet down to 2 total lanes and other structural design elements to significantly reduce speed and discourage suburbanites and tractor trailers from using our neighborhood road as an expressway to circumvent 93. ",POINT (-71.126255269999945 42.243691387000069),-71.126255269999945,42.243691387000069
{3D48A611-3B9A-4974-B4E4-E3075BEB572C},9/12/2022 22:35:21.459,,9/12/2022 22:35:21.459,,9/12/2022 22:34:00.000,bikes,,bikefacility,,"bike lanes need to be structurally protected. in the meantime, enforcement is necessary as drivers constantly park in the bike lanes and cause bike commuters to risk their lives",POINT (-71.097126479999986 42.269457463000037),-71.097126479999986,42.269457463000037
{9B764CDA-C621-4670-8A96-B33966FDACE3},9/13/2022 16:06:28.502,,9/13/2022 16:06:28.502,,9/13/2022 16:01:00.000,drives,,visibility,,There is a no parking sign at the corner of South and Boynton Street but people park quickly to shop at Happy Supermarket. When taking a left hand turn onto South Street you have to literally drive into the middle of the street to see where you are driving. Please put physical blockers in this spot!! All of my neighbors are concerned.,POINT (-71.11451372099998 42.305334031000029),-71.114513720999980,42.305334031000029
{C42AA944-8B96-46AF-837B-962EC39D8F56},9/16/2022 2:38:32.942,,9/16/2022 2:38:32.942,,9/16/2022 2:36:00.000,walks,,toomanylanes,,There should be a crosswalk on the west side of this intersection so people coming from that side of Waldeck don’t need to cross Waldeck and Melville just to cross Melville,POINT (-71.066762173999962 42.294685168000058),-71.066762173999962,42.294685168000058
{BA00DF49-EF50-4348-9198-D9B409F509C5},9/22/2022 16:23:07.315,,9/22/2022 16:23:07.315,,9/22/2022 16:22:00.000,walks,,sidewalk,,Need crosswalks and curb cuts,POINT (-71.066693916999952 42.291674525000076),-71.066693916999952,42.291674525000076
{CF5FF98D-354B-4321-ADD3-C7F44FBD1C4E},9/23/2022 11:39:18.370,,9/23/2022 11:39:18.370,,9/23/2022 11:31:00.000,walks,,speeding,,"This street has a field, basketball courts, and playgrounds yet I often see drivers driving at way higher speeds than they should, probably because it’s the only long straight street on Mission Hill. When there’s football practice or other events at the field, every available inch of parking is used making it hard for pedestrians to see traffic when crossing the street. This combined with speeding drivers and lots children using those fields creates a dangerous and uncomfortable environment for pedestrians. ",POINT (-71.102409110999986 42.328815574000032),-71.102409110999986,42.328815574000032
{ADA663D7-6E46-4A8A-97CB-CBE83BAA6AFB},9/29/2022 14:35:11.515,,9/29/2022 14:35:11.515,,9/29/2022 14:32:00.000,walks,,walksignal,,"This intersection should have a Walk sign for all crosswalks across the roadways at the same time to allow for pedestrians to get from one side of the road to the other in enough time. Cars run red lights and don't yield when turning left on green lights, even though pedestrians have a walk sign, which is extremely dangerous for people trying to cross the streets (especially Southampton Street on the side of Andrew Station).",POINT (-71.056889816999956 42.329412172000048),-71.056889816999956,42.329412172000048
{6DCF3B74-4197-4B93-9954-54976789F4D1},10/1/2022 21:28:11.874,,10/1/2022 21:28:11.874,,10/1/2022 21:25:00.000,walks,,notenoughtime,,The pedestrian signal to cross Huntington Ave at the intersection of Huntington and Forsyth lasts 10 seconds.  This isn't enough time to cross both lanes on Huntington.  This coupled with a long cycle means that if you're following the pedestrian signal it can take up to 5 minutes just to cross the street.  This leads to low compliance and lots of conflict between drivers and pedestrians crossing after the signal turns off.  The signal needs to be lengthened to at least long enough to cross both lanes on Huntington.,POINT (-71.090466554999978 42.33980537900004),-71.090466554999978,42.339805379000040
{B2E9A85B-B9C6-49C6-9DD5-98D401DE80E5},10/1/2022 21:31:14.956,,10/1/2022 21:31:14.956,,10/1/2022 21:28:00.000,bikes,,yieldturn,,Drivers do not check for bikes travelling down the southwest corridor when turning right off of Columbus Street onto Cedar street.  There have been multiple instances of cyclists almost being hit or running into a vehicle that has turned across the active walk signal without looking.  This is also true for the intersection with Heath St. and others along the corridor.,POINT (-71.097182805999978 42.328198222000026),-71.097182805999978,42.328198222000026
{8E4E8FB2-AC27-48F7-A209-EA3B5B65185F},10/1/2022 21:38:27.725,,10/1/2022 21:38:27.725,,10/1/2022 21:35:00.000,bikes,,bikefacility,,"The cycle lane ends abruptly and forces cyclists out into a single lane, high-traffic roadway or up onto the sidewalk.  This causes conflict with vehicles and pedestrians from there all the way down to Columbus Avenue.  For almost that entire stretch there is already ample space for a flexpost-protected bike lane without changing the traffic pattern.",POINT (-71.10096740299997 42.340485403000059),-71.100967402999970,42.340485403000059
{9888C4C1-2800-49BE-BBFC-661418CC8636},10/1/2022 21:40:50.953,,10/1/2022 21:40:50.953,,10/1/2022 21:39:00.000,walks,,awayfromside,,"There is no crosswalk on the muddy river side of Park Drive southbound.  To cross the street here you either need to make 3 crossings (across Fenway, across Brookline Ave, across Park Dr.) or walk up to the other side of the muddy river.",POINT (-71.10319900099995 42.342832722000026),-71.103199000999950,42.342832722000026
