dispatch_ts,street,xstreet1,xstreet2,lon,lat
2023-08-13 01:31:02,ATLANTIC AVE,,,-71.05100360575183,42.3625259941391
2023-03-22 20:50:54,WASHINGTON ST,,,-71.08579727392235,42.32862781278324
2023-11-07 14:23:56,BRIGHTON AVE,,,-71.13360733159328,42.35312214418482
2023-02-13 22:43:32,BEACON ST,,,-71.09541057637873,42.34921240551779
2023-10-12 22:28:14,ASHMONT ST,,,-71.06954620549182,42.28527134027416
2023-06-06 13:58:57,MASSACHUSETTS AVE,,,-71.06759068223865,42.32765684413819
2023-10-09 00:09:55,,,,-71.11833241803987,42.25261019940917
2023-06-29 20:59:01,WASHINGTON ST,,,-71.05893763169247,42.356793678515515
2023-05-15 22:20:43,HUNTINGTON AVE,,,-71.09551915701458,42.33760466779862
2023-11-02 13:32:15,CLARENDON ST,,,-71.07572511529467,42.35173660326784
2023-10-16 13:05:24,,,,-71.09453928106585,42.33031855748964
2023-05-16 13:49:18,,,,-71.04926191938885,42.3401638990144
2023-06-08 22:50:32,STATE ST,,,-71.05298895002514,42.35942621294723
2023-09-15 22:11:26,,,,-71.07518968878398,42.31936757524574
2023-10-27 21:54:55,PARK DR,,,-71.09690979918308,42.34189627073826
2023-08-17 23:51:59,,,,-71.0752080217456,42.34581652572449
2023-07-25 04:43:36,BLUE HILL AVE,,,-71.08014035435154,42.31264316508957
2023-06-27 22:17:02,CENTRE ST,,,-71.12054972173765,42.3090142460499
2023-10-26 19:28:26,,,,-71.10664691849603,42.33448775094811
2023-12-18 07:58:32,TREMONT ST,,,-71.06346976039322,42.354928105541866
2023-08-13 21:19:47,,,,-71.12133631401319,42.308783113511446
2023-07-01 20:15:56,JEWISH WAR VETERANS DR,,,-71.08809103101271,42.30118123180019
2023-06-20 15:59:13,TREMONT ST,,,-71.07446444309143,42.34244640941447
2023-01-10 22:09:05,HEMENWAY ST,,,-71.08963047375838,42.34497737708148
2023-07-21 14:29:43,CENTRE ST,,,-71.11416419558113,42.31247893823228
2023-08-08 19:09:07,,,,-71.07689323350004,42.34929906846397
2023-11-30 12:45:51,WASHINGTON ST,,,-71.07877926615419,42.30370001375903
2023-03-02 18:12:53,,,,-71.07820885357485,42.3060470696978
2023-05-12 23:21:25,ATLANTIC AVE,,,-71.0556785299683,42.352183253582155
2023-09-26 22:07:46,,,,-71.13778862887325,42.34833457366462
2023-08-02 08:12:25,BUNKER HILL INDUSTRIAL PARK,,,-71.07509911599827,42.38040690555776
2023-11-22 11:54:39,,,,-71.06332533964031,42.36398348502715
2023-10-14 19:12:21,,,,-71.05132313056424,42.357891207343776
2023-02-10 19:40:59,,,,-71.0723120025414,42.35551571111943
2023-07-25 11:55:46,,,,-71.11574637914951,42.35122675187151
2023-09-12 04:42:12,,,,-71.05680380711728,42.35887829694723
2023-06-10 06:10:15,MAIN ST,,,-71.07384192603274,42.38474016567213
2023-08-02 21:24:39,,,,-71.05838615349718,42.36366521912647
2023-04-12 12:49:51,TREMONT ST,,,-71.08917534559171,42.33469423406807
2023-11-17 14:44:36,HUDSON ST,,,-71.0603997542509,42.34989097029428
2023-07-07 22:01:27,,,,-71.05889509529953,42.36758452073998
2023-12-17 04:43:40,DUSTIN ST,,,-71.14535263861204,42.35280906030477
2023-08-22 00:01:16,WASHINGTON ST,,,-71.06835404086962,42.34184110473824
2023-07-01 16:54:47,RUGGLES ST,,,-71.09046781779963,42.33564513421851
2023-07-19 19:02:34,CAMBRIDGE ST,,,-71.06848559564628,42.36108188148618
2023-11-20 06:03:58,DORCHESTER AVE,,,-71.06471980989728,42.28427464315816
2023-04-13 23:53:27,,,,-71.08376966547927,42.289872111088414
2023-09-05 08:40:35,SARATOGA ST,,,-71.02326497153672,42.38150352064006
2023-06-02 18:03:12,,,,-71.07201818804987,42.33262014368461
2023-01-04 02:08:26,HUNTINGTON AVE,,,-71.11109551286684,42.32962350766265
2023-06-18 20:39:06,FERNBORO ST,,,-71.07735382165978,42.31121128965406
2023-05-03 11:01:27,,,,-71.130023511871,42.349215975917176
2023-09-10 09:12:02,,,,-71.08181395832389,42.34543689253755
2023-11-02 14:21:06,,,,-71.07384872493837,42.384779170190896
2023-09-07 22:14:11,,,,-71.0890957622328,42.35006295890982
2023-07-26 14:25:57,WILLIAM F MCCLELLAN HWY,,,-71.0098402994942,42.39545912972717
2023-10-11 23:02:00,,,,-71.0571871584288,42.36339220990205
2023-08-22 00:31:16,BENNET ST,,,-71.05453743963865,42.36550866251224
2023-07-28 12:50:04,,,,-71.05732495090447,42.35758185480327
2023-08-08 14:56:02,HEATH ST,,,-71.1103637782334,42.32868085041572
2023-07-19 21:59:27,,,,-71.13427136001334,42.28816432048704
2023-07-18 17:41:11,MASSACHUSETTS AVE,,,-71.07123825942024,42.33192695664471
2023-07-08 22:23:22,,,,-71.13661903875693,42.35356777574584
2023-01-12 14:39:16,NONANTUM RD,,,-71.1678013844511,42.35797472488565
2023-06-30 23:51:41,CHARLES ST,,,-71.06366571027837,42.30006666389525
2023-10-27 21:29:16,COMMONWEALTH AVE,,,-71.12534192959686,42.35179971323944
2023-07-01 05:33:27,CAMBRIDGE ST,,,-71.06528487615876,42.361231554366455
2023-10-25 21:19:11,,,,-71.15342417181027,42.3491138414849
2023-06-15 22:07:36,KINGBIRD RD,,,-71.0933080450507,42.29230914516733
2023-06-18 02:44:18,NORWAY ST,,,-71.088823803411,42.34531361853626
2023-12-12 18:36:16,,,,-71.07653339531137,42.34856394563822
2023-07-12 19:12:12,,,,-71.09642642302813,42.33806221526102
2023-11-27 19:25:18,NORTH ST,,,-71.05652197033102,42.360426263549904
2023-10-23 18:19:06,MADISON PARK CT,,,-71.0852121034638,42.33060844598595
2023-07-21 22:52:24,MOUNT VERNON ST,,,-71.04681973395631,42.31949614518432
2023-02-21 01:32:51,,,,-71.08406513204291,42.34220375919181
2023-08-08 09:41:29,,,,-71.03929007079122,42.3839838035472
